confidence,end,id,metadata,start,text,type
1.0,,next year',"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""next year'""}",,next year',DATE
1.0,,BlackRock,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""BlackRock""}",,BlackRock,ORG
1.0,,$91.37 million,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""$91.37 million""}",,$91.37 million,MONEY
1.0,,$24.62 million,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""$24.62 million""}",,$24.62 million,MONEY
1.0,,153,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""153""}",,153,CARDINAL
1.0,,3,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""3""}",,3,CARDINAL
1.0,,Entity(text='$91.37 million,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""Entity(text='$91.37 million""}",,Entity(text='$91.37 million,CARDINAL
1.0,,$91.37 million,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""$91.37 million""}",,$91.37 million,MONEY
1.0,,$24.62 million,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""$24.62 million""}",,$24.62 million,MONEY
1.0,,1.85-$1.91,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""1.85-$1.91""}",,1.85-$1.91,CARDINAL
1.0,,1.90,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""1.90""}",,1.90,CARDINAL
1.0,,1.86,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""1.86""}",,1.86,CARDINAL
1.0,,end_index=143,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""end_index=143""}",,end_index=143,NORP
1.0,,143,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""143""}",,143,CARDINAL
1.0,,4,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""4""}",,4,CARDINAL
1.0,,'1.85-$1.91',"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""'1.85-$1.91'""}",,'1.85-$1.91',DATE
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,126,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""126""}",,126,CARDINAL
1.0,,0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""0""}",,0,CARDINAL
1.0,,Christmas Eve,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""Christmas Eve""}",,Christmas Eve,DATE
1.0,,146,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""146""}",,146,CARDINAL
1.0,,3,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""3""}",,3,CARDINAL
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,'Christmas Eve',"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""'Christmas Eve'""}",,'Christmas Eve',DATE
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,FIL,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""FIL""}",,FIL,ORG
1.0,,1.27,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""1.27""}",,1.27,CARDINAL
1.0,,135,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""135""}",,135,CARDINAL
1.0,,2,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""2""}",,2,CARDINAL
1.0,,start_char=31,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""start_char=31""}",,start_char=31,PERSON
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,FIL,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""FIL""}",,FIL,ORG
1.0,,93,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""93""}",,93,CARDINAL
1.0,,2,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""2""}",,2,CARDINAL
1.0,,end_char=31,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""end_char=31""}",,end_char=31,PERSON
1.0,,July 1,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""July 1""}",,July 1,DATE
1.0,,130,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""130""}",,130,CARDINAL
1.0,,2,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""2""}",,2,CARDINAL
1.0,,end_char=44,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""end_char=44""}",,end_char=44,GPE
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,July 1',"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""July 1'""}",,July 1',DATE
1.0,,first,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""first""}",,first,ORDINAL
1.0,,NC-1,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""nc-1""}",,NC-1,ORG
1.0,,110,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""110""}",,110,CARDINAL
1.0,,3,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""3""}",,3,CARDINAL
1.0,,end_char=31,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""end_char=31""}",,end_char=31,PERSON
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,first,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""first""}",,first,ORDINAL
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,"Chunk(text=""XRP","{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""Chunk(text=\""XRP""}",,"Chunk(text=""XRP",ORG
1.0,,128,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""128""}",,128,CARDINAL
1.0,,1,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""1""}",,1,CARDINAL
1.0,,1.56,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""1.56""}",,1.56,CARDINAL
1.0,,1.63,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""1.63""}",,1.63,CARDINAL
1.0,,80,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""80""}",,80,CARDINAL
1.0,,4,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""4""}",,4,CARDINAL
1.0,,APT,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""APT""}",,APT,ORG
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,the year,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""the year""}",,the year,DATE
1.0,,Coinbase,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""coinbase""}",,Coinbase,ORG
1.0,,$2.9 billion,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""$2.9 billion""}",,$2.9 billion,MONEY
1.0,,Kraken,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""kraken""}",,Kraken,ORG
1.0,,$1.5 billion,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""$1.5 billion""}",,$1.5 billion,MONEY
1.0,,NinjaTrader,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""NinjaTrader""}",,NinjaTrader,ORG
1.0,,$1.25 billion,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""$1.25 billion""}",,$1.25 billion,MONEY
1.0,,Hidden Road,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""Hidden Road""}",,Hidden Road,PERSON
1.0,,183,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""183""}",,183,CARDINAL
1.0,,10,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""10""}",,10,CARDINAL
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,Coinbase,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""coinbase""}",,Coinbase,ORG
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,$2.9 billion,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""$2.9 billion""}",,$2.9 billion,MONEY
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,$1.5 billion,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""$1.5 billion""}",,$1.5 billion,MONEY
1.0,,Entity(text='$1.25 billion',"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""Entity(text='$1.25 billion'""}",,Entity(text='$1.25 billion',MONEY
1.0,,$1.25 billion,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""$1.25 billion""}",,$1.25 billion,MONEY
1.0,,156,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""156""}",,156,CARDINAL
1.0,,1,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""1""}",,1,CARDINAL
1.0,,Media,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""medium""}",,Media,ORG
1.0,,Trump,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""trump""}",,Trump,ORG
1.0,,HashKey,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""HashKey""}",,HashKey,ORG
1.0,,132,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""132""}",,132,CARDINAL
1.0,,0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""0""}",,0,CARDINAL
1.0,,U.S.,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""U.S.""}",,U.S.,GPE
1.0,,end_index=143,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""end_index=143""}",,end_index=143,NORP
1.0,,143,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""143""}",,143,CARDINAL
1.0,,1,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""1""}",,1,CARDINAL
1.0,,Entity(text='U.S.,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""entity(text='u.s.""}",,Entity(text='U.S.,PERSON
1.0,,start_char=17,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""start_char=17""}",,start_char=17,GPE
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,U.S.,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""U.S.""}",,U.S.,GPE
1.0,,133,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""133""}",,133,CARDINAL
1.0,,0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""0""}",,0,CARDINAL
1.0,,third,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""third""}",,third,ORDINAL
1.0,,Magic Labs,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""Magic Labs""}",,Magic Labs,PRODUCT
1.0,,155,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""155""}",,155,CARDINAL
1.0,,2,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""2""}",,2,CARDINAL
1.0,,third,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""third""}",,third,ORDINAL
1.0,,Magic Labs',"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""Magic Labs'""}",,Magic Labs',PERSON
1.0,,year-end,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""year-end""}",,year-end,DATE
1.0,,141,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""141""}",,141,CARDINAL
1.0,,1,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""1""}",,1,CARDINAL
1.0,,start_char=2,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""start_char=2""}",,start_char=2,ORG
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,'year-end',"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""'year-end'""}",,'year-end',DATE
1.0,,10px 15px,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""10px 15px""}",,10px 15px,DATE
1.0,,today,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""today""}",,today,DATE
1.0,,daily,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""daily""}",,daily,DATE
1.0,,DeFi,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""DeFi""}",,DeFi,ORG
1.0,,452,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""452""}",,452,CARDINAL
1.0,,5,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""5""}",,5,CARDINAL
1.0,,start_char=34,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""start_char=34""}",,start_char=34,GPE
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,'10px 15px',"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""'10px 15px'""}",,'10px 15px',DATE
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,today,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""today""}",,today,DATE
1.0,,daily,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""daily""}",,daily,DATE
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,Entity(text='DeFi,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""Entity(text='DeFi""}",,Entity(text='DeFi,GPE
1.0,,10px 15px,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""10px 15px""}",,10px 15px,DATE
1.0,,images/528_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjUtMTIvMDE5YjVmYzEtNDRiYi03N2UxLWIzMzItOWQzNWY5OWM0NmEzLmpwZw==.jpg,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""images/528_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjUtMTIvMDE5YjVmYzEtNDRiYi03N2UxLWIzMzItOWQzNWY5OWM0NmEzLmpwZw==.jpg""}",,images/528_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjUtMTIvMDE5YjVmYzEtNDRiYi03N2UxLWIzMzItOWQzNWY5OWM0NmEzLmpwZw==.jpg,ORG
1.0,,Brian Armstrong,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""Brian Armstrong""}",,Brian Armstrong,PERSON
1.0,,the GENIUS Act,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""the GENIUS Act""}",,the GENIUS Act,LAW
1.0,,Congress,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""Congress""}",,Congress,ORG
1.0,,504,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""504""}",,504,CARDINAL
1.0,,6,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""6""}",,6,CARDINAL
1.0,,start_char=34,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""start_char=34""}",,start_char=34,GPE
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,'10px 15px',"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""'10px 15px'""}",,'10px 15px',DATE
1.0,,images/528_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjUtMTIvMDE5YjVmYzEtNDRiYi03N2UxLWIzMzItOWQzNWY5OWM0NmEzLmpwZw==.jpg,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""images/528_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjUtMTIvMDE5YjVmYzEtNDRiYi03N2UxLWIzMzItOWQzNWY5OWM0NmEzLmpwZw==.jpg""}",,images/528_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjUtMTIvMDE5YjVmYzEtNDRiYi03N2UxLWIzMzItOWQzNWY5OWM0NmEzLmpwZw==.jpg,ORG
1.0,,Armstrong,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""Armstrong""}",,Armstrong,PERSON
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,Brian Armstrong',"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""Brian Armstrong'""}",,Brian Armstrong',PERSON
